"ACCELX","ACCELY","ACCELZ","ANALOGINPUT1","ANALOGINPUT2","ANALOGIP1","ANALOGIP2","BACKUPBATTERYVOLTAGE","CELLID","CRANKON","CREATEDTIMESTAMP","DEFLEVEL","DEFQUALITY","DEFTANKCAPACITY","DIGITALINPUTSTATUS","DIGITALIPSTATUS","FUEL","FUELLEVEL1","FUELLEVEL2","GPSACCURACYALT","GPSACCURACYLAT","GPSACCURACYLONG","GPSALT","GPSCOURSEANGLE","GPSDISTANCE","GPSDISTANCEIN","GPSFIX","GPSLAT","GPSLATDIR","GPSLONG","GPSLONGDIR","GPSSIGNALQUALITY","GSMNETWORKTYPE","GYROX","GYROY","GYROZ","HEADERTIMESTAMP","HEADER_PACKET_STATUS","ID","IGNITIONON","LAC","MNC","NMRNEIGHBOURING1CELLID","NMRNEIGHBOURING2CELLID","NMRNEIGHBOURING3CELLID","NMRNEIGHBOURING4CELLID","NOOFFUELTANKS","NOOFSATAVAILABLEFORFIX","NOOFSATFORFIX","ODOMETER","PACKETSTATUS","PRIMARYFUELTANKCAPACITY","RESERVED1","RESERVED2","RESERVED3","SECONDARYFUELTANKCAPACITY","VEHICLEBATTERYVOLTAGE","VEHICLESPEED","VIN"
"-88.94","87.53","-1.05","","","22800","17600","","null","0","2023-05-12 17:44:47.558","","","","","0","","347.7","214.7","2270.46","21584.74","20934.01","5.55262151E8","37.0","","29.0","1","69.6317094","null","121.5013721","null","111.0","","75.89","9.57","8.84","2023-05-12 17:44:47.558","0","1311722796","1","null","","null","null","null","null","2","","1","587738593","76","2570","","","","2595","","0.0","CVACCLD0000000045"
"-7.03","95.34","-78.29","","","21900","12800","","null","1","2023-05-12 17:44:37.558","","","","","13","","274.7","503.2","41766.03","21414.97","51161.79","2.20371929E8","130.0","","151.0","0","34.2573196","null","168.0753461","null","114.0","","-96.16","57.0","86.26","2023-05-12 17:44:37.558","0","1311722272","0","null","","null","null","null","null","2","","7","34938671","76","5195","","","","7002","","0.0","CVACCLD0000000045"
"75.23","-19.75","35.46","","","40900","10800","","null","1","2023-05-12 17:44:27.556","","","","","11","","125.0","632.4","29822.38","63175.46","44424.72","6.61304402E8","164.0","","560.0","1","151.5868931","null","121.2468234","null","80.0","","7.57","76.84","-69.68","2023-05-12 17:44:27.556","0","1311721798","0","null","","null","null","null","null","2","","19","674164071","76","4249","","","","3748","","0.0","CVACCLD0000000045"
"-23.03","34.35","12.25","","","42300","31400","","null","0","2023-05-12 17:44:17.556","","","","","11","","550.2","542.0","30831.43","34114.01","59256.92","4.71405601E8","130.0","","81.0","0","129.1513729","null","2.806326","null","4.0","","-32.11","82.69","-69.29","2023-05-12 17:44:17.556","0","1311721478","0","null","","null","null","null","null","2","","15","967514817","76","5830","","","","2780","","0.0","CVACCLD0000000045"
"30.56","-83.46","51.2","","","19400","3800","","null","1","2023-05-12 17:44:07.58","","","","","12","","421.4","0.0","3811.36","43807.24","48642.17","1.510828803E9","271.0","","251.0","1","3.4136542","null","16.2457904","null","9.0","","41.03","59.31","-49.91","2023-05-12 17:44:07.58","0","1311721243","1","null","","null","null","null","null","1","","7","83286641","72","5930","","","","0","","0.0","CVACCLD0000000045"
"-19.47","-15.59","42.42","","","24700","900","","null","0","2023-05-12 17:43:57.551","","","","","12","","39.1","0.0","9422.87","14935.33","55287.93","6.837724E7","262.0","","47.0","0","127.7766292","null","6.3309712","null","126.0","","-60.36","29.59","10.4","2023-05-12 17:43:57.551","0","1311720702","1","null","","null","null","null","null","1","","13","596564319","72","4419","","","","0","","0.0","CVACCLD0000000045"
"-71.17","16.63","29.75","","","34000","29600","","null","0","2023-05-12 17:43:47.55","","","","","10","","558.1","445.3","50628.85","11354.83","46149.58","1.475726224E9","216.0","","128.0","0","118.3119439","null","93.6608417","null","146.0","","17.52","-4.11","95.24","2023-05-12 17:43:47.551","0","1311720091","0","null","","null","null","null","null","2","","7","787290775","72","4834","","","","4776","","0.0","CVACCLD0000000045"
"-83.04","22.1","-25.74","","","22800","36600","","null","1","2023-05-12 17:43:37.549","","","","","15","","146.4","575.8","49706.75","3711.9","20823.67","6.3411777E7","285.0","","771.0","0","168.1282241","null","4.7433716","null","59.0","","29.69","11.29","-5.97","2023-05-12 17:43:37.549","0","1311719580","0","null","","null","null","null","null","2","","12","442996932","76","687","","","","675","","0.0","CVACCLD0000000045"
"-70.15","-81.78","10.84","","","40800","21500","","null","0","2023-05-12 17:43:27.548","","","","","4","","485.1","23.5","49356.37","42403.27","19904.2","1.904243653E9","239.0","","962.0","0","27.8439292","null","176.4863568","null","48.0","","52.35","97.89","-16.05","2023-05-12 17:43:27.548","0","1311719129","1","null","","null","null","null","null","2","","3","944706088","76","5490","","","","1360","","0.0","CVACCLD0000000045"
"62.35","82.95","-29.64","","","8500","37300","","null","1","2023-05-12 17:43:17.548","","","","","5","","375.0","547.8","28996.25","7445.66","64525.62","2.51081038E8","13.0","","217.0","1","91.1298659","null","90.5783308","null","9.0","","94.11","86.55","-9.28","2023-05-12 17:43:17.548","0","1311718592","0","null","","null","null","null","null","2","","10","647941561","72","5496","","","","1150","","0.0","CVACCLD0000000045"
"-88.94","87.53","-1.05","","","22800","17600","","null","0","2023-05-12 17:43:07.56","","","","","0","","347.7","214.7","2270.46","21584.74","20934.01","5.55262151E8","37.0","","29.0","1","69.6317094","null","121.5013721","null","111.0","","75.89","9.57","8.84","2023-05-12 17:43:07.56","0","1311717854","1","null","","null","null","null","null","2","","1","587738593","76","2570","","","","2595","","0.0","CVACCLD0000000045"
"-7.03","95.34","-78.29","","","21900","12800","","null","1","2023-05-12 17:42:57.542","","","","","13","","274.7","503.2","41766.03","21414.97","51161.79","2.20371929E8","130.0","","151.0","0","34.2573196","null","168.0753461","null","114.0","","-96.16","57.0","86.26","2023-05-12 17:42:57.543","0","1311716905","0","null","","null","null","null","null","2","","7","34938671","76","5195","","","","7002","","0.0","CVACCLD0000000045"
"75.23","-19.75","35.46","","","40900","10800","","null","1","2023-05-12 17:42:47.541","","","","","11","","125.0","632.4","29822.38","63175.46","44424.72","6.61304402E8","164.0","","560.0","1","151.5868931","null","121.2468234","null","80.0","","7.57","76.84","-69.68","2023-05-12 17:42:47.541","0","1311715894","0","null","","null","null","null","null","2","","19","674164071","76","4249","","","","3748","","0.0","CVACCLD0000000045"
"-23.03","34.35","12.25","","","42300","31400","","null","0","2023-05-12 17:42:37.539","","","","","11","","550.2","542.0","30831.43","34114.01","59256.92","4.71405601E8","130.0","","81.0","0","129.1513729","null","2.806326","null","4.0","","-32.11","82.69","-69.29","2023-05-12 17:42:37.539","0","1311714903","0","null","","null","null","null","null","2","","15","967514817","76","5830","","","","2780","","0.0","CVACCLD0000000045"
"30.56","-83.46","51.2","","","19400","3800","","null","1","2023-05-12 17:42:27.537","","","","","12","","421.4","0.0","3811.36","43807.24","48642.17","1.510828803E9","271.0","","251.0","1","3.4136542","null","16.2457904","null","9.0","","41.03","59.31","-49.91","2023-05-12 17:42:27.538","0","1311714055","1","null","","null","null","null","null","1","","7","83286641","72","5930","","","","0","","0.0","CVACCLD0000000045"
"-19.47","-15.59","42.42","","","24700","900","","null","0","2023-05-12 17:42:17.536","","","","","12","","39.1","0.0","9422.87","14935.33","55287.93","6.837724E7","262.0","","47.0","0","127.7766292","null","6.3309712","null","126.0","","-60.36","29.59","10.4","2023-05-12 17:42:17.536","0","1311713443","1","null","","null","null","null","null","1","","13","596564319","72","4419","","","","0","","0.0","CVACCLD0000000045"
"-71.17","16.63","29.75","","","34000","29600","","null","0","2023-05-12 17:42:07.536","","","","","10","","558.1","445.3","50628.85","11354.83","46149.58","1.475726224E9","216.0","","128.0","0","118.3119439","null","93.6608417","null","146.0","","17.52","-4.11","95.24","2023-05-12 17:42:07.536","0","1311712881","0","null","","null","null","null","null","2","","7","787290775","72","4834","","","","4776","","0.0","CVACCLD0000000045"
"-83.04","22.1","-25.74","","","22800","36600","","null","1","2023-05-12 17:41:57.532","","","","","15","","146.4","575.8","49706.75","3711.9","20823.67","6.3411777E7","285.0","","771.0","0","168.1282241","null","4.7433716","null","59.0","","29.69","11.29","-5.97","2023-05-12 17:41:57.533","0","1311711881","0","null","","null","null","null","null","2","","12","442996932","76","687","","","","675","","0.0","CVACCLD0000000045"
"-70.15","-81.78","10.84","","","40800","21500","","null","0","2023-05-12 17:41:47.528","","","","","4","","485.1","23.5","49356.37","42403.27","19904.2","1.904243653E9","239.0","","962.0","0","27.8439292","null","176.4863568","null","48.0","","52.35","97.89","-16.05","2023-05-12 17:41:47.528","0","1311710951","1","null","","null","null","null","null","2","","3","944706088","76","5490","","","","1360","","0.0","CVACCLD0000000045"
"62.35","82.95","-29.64","","","8500","37300","","null","1","2023-05-12 16:29:37.829","","","","","5","","375.0","547.8","28996.25","7445.66","64525.62","2.51081038E8","13.0","","217.0","1","91.1298659","null","90.5783308","null","9.0","","94.11","86.55","-9.28","2023-05-12 16:29:37.83","0","1311487333","0","null","","null","null","null","null","2","","10","647941561","72","5496","","","","1150","","0.0","CVACCLD0000000045"
"-88.94","87.53","-1.05","","","22800","17600","","null","0","2023-05-12 16:29:27.828","","","","","0","","347.7","214.7","2270.46","21584.74","20934.01","5.55262151E8","37.0","","29.0","1","69.6317094","null","121.5013721","null","111.0","","75.89","9.57","8.84","2023-05-12 16:29:27.828","0","1311486963","1","null","","null","null","null","null","2","","1","587738593","76","2570","","","","2595","","0.0","CVACCLD0000000045"
"-7.03","95.34","-78.29","","","21900","12800","","null","1","2023-05-12 16:29:17.827","","","","","13","","274.7","503.2","41766.03","21414.97","51161.79","2.20371929E8","130.0","","151.0","0","34.2573196","null","168.0753461","null","114.0","","-96.16","57.0","86.26","2023-05-12 16:29:17.828","0","1311486370","0","null","","null","null","null","null","2","","7","34938671","76","5195","","","","7002","","0.0","CVACCLD0000000045"
"75.23","-19.75","35.46","","","40900","10800","","null","1","2023-05-12 16:29:07.827","","","","","11","","125.0","632.4","29822.38","63175.46","44424.72","6.61304402E8","164.0","","560.0","1","151.5868931","null","121.2468234","null","80.0","","7.57","76.84","-69.68","2023-05-12 16:29:07.827","0","1311486278","0","null","","null","null","null","null","2","","19","674164071","76","4249","","","","3748","","0.0","CVACCLD0000000045"
"-23.03","34.35","12.25","","","42300","31400","","null","0","2023-05-12 16:28:57.827","","","","","11","","550.2","542.0","30831.43","34114.01","59256.92","4.71405601E8","130.0","","81.0","0","129.1513729","null","2.806326","null","4.0","","-32.11","82.69","-69.29","2023-05-12 16:28:57.827","0","1311485943","0","null","","null","null","null","null","2","","15","967514817","76","5830","","","","2780","","0.0","CVACCLD0000000045"
"30.56","-83.46","51.2","","","19400","3800","","null","1","2023-05-12 16:28:47.844","","","","","12","","421.4","0.0","3811.36","43807.24","48642.17","1.510828803E9","271.0","","251.0","1","3.4136542","null","16.2457904","null","9.0","","41.03","59.31","-49.91","2023-05-12 16:28:47.844","0","1311484950","1","null","","null","null","null","null","1","","7","83286641","72","5930","","","","0","","0.0","CVACCLD0000000045"
"-19.47","-15.59","42.42","","","24700","900","","null","0","2023-05-12 16:28:37.822","","","","","12","","39.1","0.0","9422.87","14935.33","55287.93","6.837724E7","262.0","","47.0","0","127.7766292","null","6.3309712","null","126.0","","-60.36","29.59","10.4","2023-05-12 16:28:37.822","0","1311484404","1","null","","null","null","null","null","1","","13","596564319","72","4419","","","","0","","0.0","CVACCLD0000000045"
"-71.17","16.63","29.75","","","34000","29600","","null","0","2023-05-12 16:28:27.821","","","","","10","","558.1","445.3","50628.85","11354.83","46149.58","1.475726224E9","216.0","","128.0","0","118.3119439","null","93.6608417","null","146.0","","17.52","-4.11","95.24","2023-05-12 16:28:27.821","0","1311483975","0","null","","null","null","null","null","2","","7","787290775","72","4834","","","","4776","","0.0","CVACCLD0000000045"
"-83.04","22.1","-25.74","","","22800","36600","","null","1","2023-05-12 16:28:17.824","","","","","15","","146.4","575.8","49706.75","3711.9","20823.67","6.3411777E7","285.0","","771.0","0","168.1282241","null","4.7433716","null","59.0","","29.69","11.29","-5.97","2023-05-12 16:28:17.824","0","1311483449","0","null","","null","null","null","null","2","","12","442996932","76","687","","","","675","","0.0","CVACCLD0000000045"
"-70.15","-81.78","10.84","","","40800","21500","","null","0","2023-05-12 16:28:07.821","","","","","4","","485.1","23.5","49356.37","42403.27","19904.2","1.904243653E9","239.0","","962.0","0","27.8439292","null","176.4863568","null","48.0","","52.35","97.89","-16.05","2023-05-12 16:28:07.821","0","1311483201","1","null","","null","null","null","null","2","","3","944706088","76","5490","","","","1360","","0.0","CVACCLD0000000045"
"62.35","82.95","-29.64","","","8500","37300","","null","1","2023-05-12 16:27:57.82","","","","","5","","375.0","547.8","28996.25","7445.66","64525.62","2.51081038E8","13.0","","217.0","1","91.1298659","null","90.5783308","null","9.0","","94.11","86.55","-9.28","2023-05-12 16:27:57.82","0","1311482733","0","null","","null","null","null","null","2","","10","647941561","72","5496","","","","1150","","0.0","CVACCLD0000000045"
"-88.94","87.53","-1.05","","","22800","17600","","null","0","2023-05-12 16:27:47.82","","","","","0","","347.7","214.7","2270.46","21584.74","20934.01","5.55262151E8","37.0","","29.0","1","69.6317094","null","121.5013721","null","111.0","","75.89","9.57","8.84","2023-05-12 16:27:47.82","0","1311481929","1","null","","null","null","null","null","2","","1","587738593","76","2570","","","","2595","","0.0","CVACCLD0000000045"
"-7.03","95.34","-78.29","","","21900","12800","","null","1","2023-05-12 16:27:37.82","","","","","13","","274.7","503.2","41766.03","21414.97","51161.79","2.20371929E8","130.0","","151.0","0","34.2573196","null","168.0753461","null","114.0","","-96.16","57.0","86.26","2023-05-12 16:27:37.82","0","1311481167","0","null","","null","null","null","null","2","","7","34938671","76","5195","","","","7002","","0.0","CVACCLD0000000045"
"75.23","-19.75","35.46","","","40900","10800","","null","1","2023-05-12 16:27:27.819","","","","","11","","125.0","632.4","29822.38","63175.46","44424.72","6.61304402E8","164.0","","560.0","1","151.5868931","null","121.2468234","null","80.0","","7.57","76.84","-69.68","2023-05-12 16:27:27.819","0","1311480784","0","null","","null","null","null","null","2","","19","674164071","76","4249","","","","3748","","0.0","CVACCLD0000000045"
"-23.03","34.35","12.25","","","42300","31400","","null","0","2023-05-12 16:27:17.819","","","","","11","","550.2","542.0","30831.43","34114.01","59256.92","4.71405601E8","130.0","","81.0","0","129.1513729","null","2.806326","null","4.0","","-32.11","82.69","-69.29","2023-05-12 16:27:17.819","0","1311480167","0","null","","null","null","null","null","2","","15","967514817","76","5830","","","","2780","","0.0","CVACCLD0000000045"
"30.56","-83.46","51.2","","","19400","3800","","null","1","2023-05-12 16:27:07.819","","","","","12","","421.4","0.0","3811.36","43807.24","48642.17","1.510828803E9","271.0","","251.0","1","3.4136542","null","16.2457904","null","9.0","","41.03","59.31","-49.91","2023-05-12 16:27:07.819","0","1311479945","1","null","","null","null","null","null","1","","7","83286641","72","5930","","","","0","","0.0","CVACCLD0000000045"
"-19.47","-15.59","42.42","","","24700","900","","null","0","2023-05-12 16:26:57.818","","","","","12","","39.1","0.0","9422.87","14935.33","55287.93","6.837724E7","262.0","","47.0","0","127.7766292","null","6.3309712","null","126.0","","-60.36","29.59","10.4","2023-05-12 16:26:57.818","0","1311479615","1","null","","null","null","null","null","1","","13","596564319","72","4419","","","","0","","0.0","CVACCLD0000000045"
"-71.17","16.63","29.75","","","34000","29600","","null","0","2023-05-12 16:26:47.818","","","","","10","","558.1","445.3","50628.85","11354.83","46149.58","1.475726224E9","216.0","","128.0","0","118.3119439","null","93.6608417","null","146.0","","17.52","-4.11","95.24","2023-05-12 16:26:47.818","0","1311478496","0","null","","null","null","null","null","2","","7","787290775","72","4834","","","","4776","","0.0","CVACCLD0000000045"
"-83.04","22.1","-25.74","","","22800","36600","","null","1","2023-05-12 16:26:37.818","","","","","15","","146.4","575.8","49706.75","3711.9","20823.67","6.3411777E7","285.0","","771.0","0","168.1282241","null","4.7433716","null","59.0","","29.69","11.29","-5.97","2023-05-12 16:26:37.818","0","1311477670","0","null","","null","null","null","null","2","","12","442996932","76","687","","","","675","","0.0","CVACCLD0000000045"
"-70.15","-81.78","10.84","","","40800","21500","","null","0","2023-05-12 16:26:27.817","","","","","4","","485.1","23.5","49356.37","42403.27","19904.2","1.904243653E9","239.0","","962.0","0","27.8439292","null","176.4863568","null","48.0","","52.35","97.89","-16.05","2023-05-12 16:26:27.817","0","1311476902","1","null","","null","null","null","null","2","","3","944706088","76","5490","","","","1360","","0.0","CVACCLD0000000045"
"62.35","82.95","-29.64","","","8500","37300","","null","1","2023-05-12 16:26:17.817","","","","","5","","375.0","547.8","28996.25","7445.66","64525.62","2.51081038E8","13.0","","217.0","1","91.1298659","null","90.5783308","null","9.0","","94.11","86.55","-9.28","2023-05-12 16:26:17.817","0","1311476095","0","null","","null","null","null","null","2","","10","647941561","72","5496","","","","1150","","0.0","CVACCLD0000000045"
"-88.94","87.53","-1.05","","","22800","17600","","null","0","2023-05-12 16:26:07.817","","","","","0","","347.7","214.7","2270.46","21584.74","20934.01","5.55262151E8","37.0","","29.0","1","69.6317094","null","121.5013721","null","111.0","","75.89","9.57","8.84","2023-05-12 16:26:07.817","0","1311475640","1","null","","null","null","null","null","2","","1","587738593","76","2570","","","","2595","","0.0","CVACCLD0000000045"
"-7.03","95.34","-78.29","","","21900","12800","","null","1","2023-05-12 16:25:57.816","","","","","13","","274.7","503.2","41766.03","21414.97","51161.79","2.20371929E8","130.0","","151.0","0","34.2573196","null","168.0753461","null","114.0","","-96.16","57.0","86.26","2023-05-12 16:25:57.816","0","1311475154","0","null","","null","null","null","null","2","","7","34938671","76","5195","","","","7002","","0.0","CVACCLD0000000045"
"75.23","-19.75","35.46","","","40900","10800","","null","1","2023-05-12 16:25:47.82","","","","","11","","125.0","632.4","29822.38","63175.46","44424.72","6.61304402E8","164.0","","560.0","1","151.5868931","null","121.2468234","null","80.0","","7.57","76.84","-69.68","2023-05-12 16:25:47.82","0","1311474227","0","null","","null","null","null","null","2","","19","674164071","76","4249","","","","3748","","0.0","CVACCLD0000000045"
"-23.03","34.35","12.25","","","42300","31400","","null","0","2023-05-12 16:25:37.813","","","","","11","","550.2","542.0","30831.43","34114.01","59256.92","4.71405601E8","130.0","","81.0","0","129.1513729","null","2.806326","null","4.0","","-32.11","82.69","-69.29","2023-05-12 16:25:37.813","0","1311473561","0","null","","null","null","null","null","2","","15","967514817","76","5830","","","","2780","","0.0","CVACCLD0000000045"
"30.56","-83.46","51.2","","","19400","3800","","null","1","2023-05-12 16:25:27.812","","","","","12","","421.4","0.0","3811.36","43807.24","48642.17","1.510828803E9","271.0","","251.0","1","3.4136542","null","16.2457904","null","9.0","","41.03","59.31","-49.91","2023-05-12 16:25:27.813","0","1311472818","1","null","","null","null","null","null","1","","7","83286641","72","5930","","","","0","","0.0","CVACCLD0000000045"
"-19.47","-15.59","42.42","","","24700","900","","null","0","2023-05-12 16:25:17.816","","","","","12","","39.1","0.0","9422.87","14935.33","55287.93","6.837724E7","262.0","","47.0","0","127.7766292","null","6.3309712","null","126.0","","-60.36","29.59","10.4","2023-05-12 16:25:17.816","0","1311472211","1","null","","null","null","null","null","1","","13","596564319","72","4419","","","","0","","0.0","CVACCLD0000000045"
"-71.17","16.63","29.75","","","34000","29600","","null","0","2023-05-12 16:25:07.809","","","","","10","","558.1","445.3","50628.85","11354.83","46149.58","1.475726224E9","216.0","","128.0","0","118.3119439","null","93.6608417","null","146.0","","17.52","-4.11","95.24","2023-05-12 16:25:07.809","0","1311471815","0","null","","null","null","null","null","2","","7","787290775","72","4834","","","","4776","","0.0","CVACCLD0000000045"
"-83.04","22.1","-25.74","","","22800","36600","","null","1","2023-05-12 16:24:57.808","","","","","15","","146.4","575.8","49706.75","3711.9","20823.67","6.3411777E7","285.0","","771.0","0","168.1282241","null","4.7433716","null","59.0","","29.69","11.29","-5.97","2023-05-12 16:24:57.808","0","1311471480","0","null","","null","null","null","null","2","","12","442996932","76","687","","","","675","","0.0","CVACCLD0000000045"
"-70.15","-81.78","10.84","","","40800","21500","","null","0","2023-05-12 16:24:47.812","","","","","4","","485.1","23.5","49356.37","42403.27","19904.2","1.904243653E9","239.0","","962.0","0","27.8439292","null","176.4863568","null","48.0","","52.35","97.89","-16.05","2023-05-12 16:24:47.812","0","1311470288","1","null","","null","null","null","null","2","","3","944706088","76","5490","","","","1360","","0.0","CVACCLD0000000045"
"62.35","82.95","-29.64","","","8500","37300","","null","1","2023-05-12 16:24:37.807","","","","","5","","375.0","547.8","28996.25","7445.66","64525.62","2.51081038E8","13.0","","217.0","1","91.1298659","null","90.5783308","null","9.0","","94.11","86.55","-9.28","2023-05-12 16:24:37.807","0","1311469732","0","null","","null","null","null","null","2","","10","647941561","72","5496","","","","1150","","0.0","CVACCLD0000000045"
"-88.94","87.53","-1.05","","","22800","17600","","null","0","2023-05-12 16:24:27.807","","","","","0","","347.7","214.7","2270.46","21584.74","20934.01","5.55262151E8","37.0","","29.0","1","69.6317094","null","121.5013721","null","111.0","","75.89","9.57","8.84","2023-05-12 16:24:27.807","0","1311469315","1","null","","null","null","null","null","2","","1","587738593","76","2570","","","","2595","","0.0","CVACCLD0000000045"
"-7.03","95.34","-78.29","","","21900","12800","","null","1","2023-05-12 16:24:17.807","","","","","13","","274.7","503.2","41766.03","21414.97","51161.79","2.20371929E8","130.0","","151.0","0","34.2573196","null","168.0753461","null","114.0","","-96.16","57.0","86.26","2023-05-12 16:24:17.807","0","1311468924","0","null","","null","null","null","null","2","","7","34938671","76","5195","","","","7002","","0.0","CVACCLD0000000045"
"75.23","-19.75","35.46","","","40900","10800","","null","1","2023-05-12 16:24:07.806","","","","","11","","125.0","632.4","29822.38","63175.46","44424.72","6.61304402E8","164.0","","560.0","1","151.5868931","null","121.2468234","null","80.0","","7.57","76.84","-69.68","2023-05-12 16:24:07.806","0","1311468527","0","null","","null","null","null","null","2","","19","674164071","76","4249","","","","3748","","0.0","CVACCLD0000000045"
"-23.03","34.35","12.25","","","42300","31400","","null","0","2023-05-12 16:23:57.806","","","","","11","","550.2","542.0","30831.43","34114.01","59256.92","4.71405601E8","130.0","","81.0","0","129.1513729","null","2.806326","null","4.0","","-32.11","82.69","-69.29","2023-05-12 16:23:57.806","0","1311468244","0","null","","null","null","null","null","2","","15","967514817","76","5830","","","","2780","","0.0","CVACCLD0000000045"
